date,Open,High,Low,Close,Volume
2025-10-31,22.62,22.96,22.455,22.65,9866771.0
2025-10-30,22.37,22.955,22.31,22.4,6413746.0
2025-10-29,22.7,23.26,22.51,22.54,6035078.0
2025-10-28,23.18,23.18,22.22,22.73,9016071.0
2025-10-27,24.17,24.355,23.315,23.34,6022778.0
2025-10-24,24.66,24.71,23.8,23.83,6165430.0
2025-10-23,24.0,24.745,23.86,24.62,10601036.0
2025-10-22,22.375,23.03,22.24,22.89,6438025.0
2025-10-21,22.495,22.73,22.14,22.58,4292736.0
2025-10-20,22.73,23.0,22.045,22.49,7247264.0
2025-10-17,23.0,23.25,22.5,22.52,8668666.0
2025-10-16,23.42,23.51,22.54,23.0,6655173.0
2025-10-15,23.22,23.7,22.895,23.24,10502477.0
2025-10-14,22.18,23.4399,22.11,22.91,6897938.0
2025-10-13,22.65,22.85,22.14,22.82,5651604.0
2025-10-10,23.45,23.48,21.865,21.94,7965150.0
2025-10-09,24.83,25.25,23.58,23.66,7090073.0
2025-10-08,25.08,25.1,24.38,24.6,5700754.0
2025-10-07,25.02,25.435,24.815,25.08,5984333.0
2025-10-06,24.66,25.525,24.64,25.12,6169488.0
2025-10-03,24.11,24.7,23.895,24.54,5981556.0
2025-10-02,24.95,25.38,23.855,23.88,7533122.0
2025-10-01,23.9,25.105,23.87,25.06,5170389.0
2025-09-30,23.995,24.375,23.615,24.28,6059544.0
2025-09-29,24.36,24.4,23.73,24.34,7640326.0
2025-09-26,24.5,25.802,24.3,24.69,7603824.0
2025-09-25,24.09,24.5,24.08,24.34,7391948.0
2025-09-24,24.55,25.0,24.39,24.42,14224586.0
2025-09-23,23.89,24.92,23.74,23.99,7254725.0
2025-09-22,23.24,23.82,23.0,23.61,6074586.0
2025-09-19,23.94,23.94,23.291,23.48,11096502.0
2025-09-18,24.14,24.26,23.64,23.9,5073252.0
2025-09-17,24.31,24.99,24.13,24.155,8494875.0
2025-09-16,23.25,24.965,23.105,24.51,11232554.0
2025-09-15,23.005,23.24,22.64,22.91,5405734.0
2025-09-12,23.3,23.7062,22.82,22.84,4929889.0
2025-09-11,22.96,23.05,22.66,22.98,6920894.0
2025-09-10,21.8,23.33,21.57,23.29,8443857.0
2025-09-09,22.33,22.89,21.65,21.66,6788823.0
2025-09-08,23.0,23.08,22.175,22.26,7499872.0
2025-09-05,23.0,23.4753,22.565,22.75,5994398.0
2025-09-04,22.74,23.5,22.45,23.44,6422283.0
2025-09-03,23.36,23.69,22.55,22.68,8304458.0
2025-09-02,23.21,23.87,23.05,23.84,6787407.0
2025-08-29,22.975,23.41,22.87,23.22,5662347.0
2025-08-28,22.69,23.055,22.45,22.98,6853713.0
2025-08-27,22.15,22.785,21.95,22.59,5542215.0
2025-08-26,22.09,22.32,21.885,22.12,4432889.0
