date,Open,High,Low,Close,Volume
2025-10-31,63.7,64.48,63.15,64.16,3240524.0
2025-10-30,63.83,64.79,63.71,64.11,2352289.0
2025-10-29,65.35,65.44,63.64,63.83,2669111.0
2025-10-28,66.7,66.77,65.89,66.01,2613610.0
2025-10-27,66.97,67.225,66.28,67.13,1813915.0
2025-10-24,67.43,67.9,66.81,66.85,1572786.0
2025-10-23,68.36,68.555,66.955,67.37,2571506.0
2025-10-22,67.08,68.94,66.915,68.58,3121634.0
2025-10-21,67.79,67.81,66.845,66.91,2114905.0
2025-10-20,67.54,67.91,67.33,67.75,1743873.0
2025-10-17,67.0,67.61,66.35,67.54,1918223.0
2025-10-16,65.51,66.92,65.4,66.6,2768128.0
2025-10-15,65.52,66.17,64.83,65.3,2056643.0
2025-10-14,64.65,65.88,64.09,65.8,2426217.0
2025-10-13,66.37,66.7,65.32,65.36,2309744.0
2025-10-10,66.48,67.09,66.08,66.66,2745809.0
2025-10-09,65.86,66.395,65.4,66.11,2588387.0
2025-10-08,65.23,66.25,64.7,65.81,3825240.0
2025-10-07,67.45,69.13,65.6,65.62,6012833.0
2025-10-06,68.76,69.09,67.915,68.29,5613949.0
2025-10-03,67.87,69.01,67.87,68.91,3907620.0
2025-10-02,67.38,68.205,67.1,68.09,3019528.0
2025-10-01,66.91,68.035,66.78,67.76,2856294.0
2025-09-30,66.79,67.28,66.29,66.91,3350061.0
2025-09-29,65.6,66.84,64.89,66.8,3646354.0
2025-09-26,64.81,65.72,64.65,65.7,2349072.0
2025-09-25,65.59,66.0,64.54,64.62,3589163.0
2025-09-24,64.36,65.51,64.28,65.2,3441758.0
2025-09-23,64.8,65.0334,63.66,64.3,3448641.0
2025-09-22,65.1,65.2099,64.53,64.63,1957849.0
2025-09-19,66.46,66.81,65.47,65.48,4423985.0
2025-09-18,66.49,66.84,65.9584,66.25,1795802.0
2025-09-17,67.05,67.7,66.59,66.81,1538526.0
2025-09-16,66.11,67.64,66.1,67.11,2273621.0
2025-09-15,69.34,69.54,65.95,65.95,3203058.0
2025-09-12,69.45,69.89,68.63,68.95,1795862.0
2025-09-11,68.94,70.215,68.575,69.81,2007999.0
2025-09-10,69.22,69.4,67.71,68.58,2425271.0
2025-09-09,69.89,70.25,69.51,69.63,1591922.0
2025-09-08,70.5,70.52,69.51,70.15,2585250.0
2025-09-05,70.27,71.63,70.2,70.91,2583985.0
2025-09-04,70.19,70.58,69.78,70.13,1765891.0
